																																Node: Pos=(23, 14), Wins=-821, Visits=1
																															Node: Pos=(22, 14), Wins=-31894, Visits=15
																																Node: Pos=(23, 14), Wins=-175, Visits=1
																																Node: Pos=(21, 14), Wins=-1283, Visits=1
																																Node: Pos=(22, 15), Wins=-17419, Visits=9
																																	Node: Pos=(23, 15), Wins=17, Visits=1
																																	Node: Pos=(21, 15), Wins=-3649, Visits=2
																																		Node: Pos=(22, 15), Wins=-128, Visits=1
																																	Node: Pos=(22, 16), Wins=-1742, Visits=1
																																	Node: Pos=(22, 14), Wins=-6798, Visits=4
																																		Node: Pos=(23, 14), Wins=-983, Visits=1
																																		Node: Pos=(21, 14), Wins=-2420, Visits=1
																																		Node: Pos=(22, 15), Wins=18, Visits=1
																																Node: Pos=(22, 13), Wins=-3873, Visits=3
																																	Node: Pos=(23, 13), Wins=-1845, Visits=1
																																	Node: Pos=(21, 13), Wins=9, Visits=1
																															Node: Pos=(23, 15), Wins=-171, Visits=1
																															Node: Pos=(23, 13), Wins=-1235, Visits=1
																														Node: Pos=(24, 15), Wins=16, Visits=1
																														Node: Pos=(24, 13), Wins=-9889238, Visits=4560
																															Node: Pos=(25, 13), Wins=-9881199, Visits=4555
																																Node: Pos=(26, 13), Wins=-1157, Visits=1
																																Node: Pos=(24, 13), Wins=-47464, Visits=22
																																	Node: Pos=(25, 13), Wins=-35283, Visits=18
																																		Node: Pos=(26, 13), Wins=-841, Visits=1
																																		Node: Pos=(24, 13), Wins=-345, Visits=1
																																		Node: Pos=(25, 14), Wins=-27900, Visits=14
																																			Node: Pos=(26, 14), Wins=-1435, Visits=1
																																			Node: Pos=(24, 14), Wins=-21915, Visits=10
																																				Node: Pos=(25, 14), Wins=-1224, Visits=1
																																				Node: Pos=(23, 14), Wins=-8326, Visits=4
																																					Node: Pos=(24, 14), Wins=-3859, Visits=1
																																					Node: Pos=(22, 14), Wins=-253, Visits=1
																																					Node: Pos=(23, 15), Wins=-1131, Visits=1
																																				Node: Pos=(24, 15), Wins=-5963, Visits=3
																																					Node: Pos=(25, 15), Wins=-3453, Visits=1
																																					Node: Pos=(23, 15), Wins=-98, Visits=1
																																				Node: Pos=(24, 13), Wins=-1498, Visits=1
																																			Node: Pos=(25, 15), Wins=-1300, Visits=1
																																			Node: Pos=(25, 13), Wins=-1140, Visits=1
																																		Node: Pos=(25, 12), Wins=-1244, Visits=1
																																	Node: Pos=(23, 13), Wins=-7, Visits=1
																																	Node: Pos=(24, 14), Wins=-691, Visits=1
																																	Node: Pos=(24, 12), Wins=-250, Visits=1
																																Node: Pos=(25, 14), Wins=-4534051, Visits=2086
																																	Node: Pos=(26, 14), Wins=-316, Visits=1
																																	Node: Pos=(24, 14), Wins=-4526753, Visits=2082
																																		Node: Pos=(25, 14), Wins=-4498844, Visits=2071
																																			Node: Pos=(26, 14), Wins=-989, Visits=1
																																			Node: Pos=(24, 14), Wins=-1947, Visits=1
																																			Node: Pos=(25, 15), Wins=-4487880, Visits=2066
																																				Node: Pos=(26, 15), Wins=-590969, Visits=274
																																					Node: Pos=(27, 15), Wins=-14198, Visits=7
																																						Node: Pos=(28, 15), Wins=-6841, Visits=3
																																							Node: Pos=(29, 15), Wins=-2305, Visits=1
																																							Node: Pos=(27, 15), Wins=-535, Visits=1
																																						Node: Pos=(26, 15), Wins=-1620, Visits=1
																																						Node: Pos=(27, 16), Wins=-726, Visits=1
																																						Node: Pos=(27, 14), Wins=-1594, Visits=1
																																					Node: Pos=(25, 15), Wins=-3870, Visits=2
																																						Node: Pos=(26, 15), Wins=-272, Visits=1
																																					Node: Pos=(26, 16), Wins=-562808, Visits=262
																																						Node: Pos=(27, 16), Wins=-10365, Visits=5
																																							Node: Pos=(28, 16), Wins=-2281, Visits=1
																																							Node: Pos=(26, 16), Wins=-3042, Visits=1
																																							Node: Pos=(27, 17), Wins=-710, Visits=1
																																							Node: Pos=(27, 15), Wins=-367, Visits=1
																																						Node: Pos=(25, 16), Wins=-3090, Visits=2
																																							Node: Pos=(26, 16), Wins=-180, Visits=1
																																						Node: Pos=(26, 17), Wins=-544030, Visits=252
																																							Node: Pos=(27, 17), Wins=-15135, Visits=8
																																								Node: Pos=(28, 17), Wins=-6823, Visits=3
																																									Node: Pos=(29, 17), Wins=-816, Visits=1
																																									Node: Pos=(27, 17), Wins=-658, Visits=1
																																								Node: Pos=(26, 17), Wins=-412, Visits=1
																																								Node: Pos=(27, 18), Wins=-1074, Visits=1
																																								Node: Pos=(27, 16), Wins=-2487, Visits=2
																																									Node: Pos=(28, 16), Wins=-104, Visits=1
																																							Node: Pos=(25, 17), Wins=-516696, Visits=241
																																								Node: Pos=(26, 17), Wins=-496375, Visits=232
																																									Node: Pos=(27, 17), Wins=-489250, Visits=228
																																										Node: Pos=(28, 17), Wins=-1266, Visits=1
																																										Node: Pos=(26, 17), Wins=-482, Visits=1
																																										Node: Pos=(27, 18), Wins=-1878, Visits=1
																																										Node: Pos=(27, 16), Wins=-472007, Visits=224
																																											Node: Pos=(28, 16), Wins=-450967, Visits=213
																																												Node: Pos=(29, 16), Wins=-359400, Visits=170
																																													Node: Pos=(29, 16), Wins=-1211, Visits=1
																																													Node: Pos=(28, 16), Wins=-1534, Visits=1
																																													Node: Pos=(29, 17), Wins=-346966, Visits=166
																																														Node: Pos=(29, 17), Wins=-2797, Visits=2
																																															Node: Pos=(29, 17), Wins=-296, Visits=1
																																														Node: Pos=(28, 17), Wins=-326383, Visits=156
																																															Node: Pos=(29, 17), Wins=-332, Visits=1
																																															Node: Pos=(27, 17), Wins=-1977, Visits=1
																																															Node: Pos=(28, 18), Wins=-316515, Visits=152
																																																Node: Pos=(29, 18), Wins=-924, Visits=1
																																																Node: Pos=(27, 18), Wins=-291706, Visits=139
																																																	Node: Pos=(28, 18), Wins=-10283, Visits=5
																																																		Node: Pos=(29, 18), Wins=-174, Visits=1
																																																		Node: Pos=(27, 18), Wins=-2487, Visits=1
																																																		Node: Pos=(28, 19), Wins=-603, Visits=1
																																																		Node: Pos=(28, 17), Wins=-662, Visits=1
																																																	Node: Pos=(26, 18), Wins=-397, Visits=1
																																																	Node: Pos=(27, 19), Wins=-1258, Visits=1
																																																	Node: Pos=(27, 17), Wins=-276903, Visits=131
																																																		Node: Pos=(28, 17), Wins=-6306, Visits=3
																																																			Node: Pos=(29, 17), Wins=-559, Visits=1
																																																			Node: Pos=(27, 17), Wins=-1002, Visits=1
																																																		Node: Pos=(26, 17), Wins=-246831, Visits=118
																																																			Node: Pos=(27, 17), Wins=-28743, Visits=14
																																																				Node: Pos=(28, 17), Wins=-20858, Visits=10
																																																					Node: Pos=(29, 17), Wins=-682, Visits=1
																																																					Node: Pos=(27, 17), Wins=-10549, Visits=5
																																																						Node: Pos=(28, 17), Wins=-657, Visits=1
																																																						Node: Pos=(26, 17), Wins=-404, Visits=1
																																																						Node: Pos=(27, 18), Wins=-2336, Visits=1
																																																						Node: Pos=(27, 16), Wins=-1133, Visits=1
																																																					Node: Pos=(28, 18), Wins=-479, Visits=1
																																																					Node: Pos=(28, 16), Wins=-4285, Visits=2
																																																						Node: Pos=(29, 16), Wins=-1392, Visits=1
																																																				Node: Pos=(26, 17), Wins=-1798, Visits=1
																																																				Node: Pos=(27, 18), Wins=-824, Visits=1
																																																				Node: Pos=(27, 16), Wins=-1301, Visits=1
																																																			Node: Pos=(25, 17), Wins=-205592, Visits=101
																																																				Node: Pos=(26, 17), Wins=-3323, Visits=2
																																																					Node: Pos=(27, 17), Wins=-490, Visits=1
																																																				Node: Pos=(24, 17), Wins=-164477, Visits=80
																																																					Node: Pos=(25, 17), Wins=-189, Visits=1
																																																					Node: Pos=(23, 17), Wins=-146991, Visits=72
																																																						Node: Pos=(24, 17), Wins=-68, Visits=1
																																																						Node: Pos=(22, 17), Wins=-1287, Visits=1
